Seccion,Año,Saga,Titulo,Titulo Original,Genero,Director,Grupo,Vista,Doblaje,Formato,Puntuacion
Accion - Aventura,1981,Indiana Jones,Indiana Jones y los Cazadores del Arca Perdida,Raiders of the Lost Ark,Aventura; Acción,Steven Spielberg,Coleccion,Si,Español,Blu-ray,9
Fantasia,2001,El Señor de los Anillos,El Señor de los Anillos: La Comunidad del Anillo,The Lord of the Rings: The Fellowship of the Ring,Fantasia; Aventura,Peter Jackson,Coleccion,Si,Español,Blu-ray,10
